tenure,InternetService,Contract,MonthlyCharges,Churn
62,No,Two year,24.25,0
3,DSL,Month-to-month,64.5,0
56,Fiber optic,One year,110.5,0
46,DSL,One year,55.65,0
8,DSL,Month-to-month,54.65,0
30,DSL,Month-to-month,74.75,0
45,No,One year,25.9,0
1,Fiber optic,Month-to-month,79.35,1
11,DSL,Month-to-month,50.55,0
7,Fiber optic,Month-to-month,75.15,1
42,Fiber optic,Month-to-month,103.8,0
49,No,Two year,20.15,0
9,Fiber optic,Month-to-month,99.3,0
35,DSL,One year,62.15,0
48,No,Two year,20.65,0
46,No,Two year,19.95,0
29,DSL,Month-to-month,33.75,0
30,Fiber optic,Month-to-month,82.05,0
1,Fiber optic,Month-to-month,74.7,0
66,DSL,Two year,84.0,0
65,Fiber optic,Month-to-month,111.05,0
72,Fiber optic,Two year,100.9,0
12,Fiber optic,Month-to-month,78.95,1
71,DSL,One year,66.85,0
5,No,Month-to-month,21.05,1
52,No,Two year,21.0,0
25,Fiber optic,Month-to-month,98.5,1
1,No,Month-to-month,20.2,0
1,No,Month-to-month,19.45,0
38,Fiber optic,One year,95.0,0
66,DSL,One year,45.55,0
68,Fiber optic,Two year,110.0,1
5,DSL,Month-to-month,24.3,0
72,Fiber optic,One year,104.15,0
32,DSL,One year,30.15,0
43,Fiber optic,One year,94.35,0
72,No,Two year,19.4,0
55,Fiber optic,Month-to-month,96.75,1
52,DSL,One year,57.95,0
43,Fiber optic,Month-to-month,91.65,0
37,Fiber optic,Month-to-month,76.5,1
64,DSL,Two year,54.6,0
3,Fiber optic,Month-to-month,89.85,0
36,DSL,Two year,31.05,0
10,Fiber optic,Month-to-month,100.25,1
41,No,Two year,20.65,0
27,Fiber optic,Month-to-month,85.2,0
56,Fiber optic,One year,99.8,0
6,No,Month-to-month,20.7,0
3,Fiber optic,Month-to-month,74.4,1
7,DSL,Month-to-month,50.7,0
4,No,Month-to-month,20.85,0
33,Fiber optic,Two year,88.95,0
27,Fiber optic,Month-to-month,78.05,1
72,No,Two year,23.55,0
1,No,Month-to-month,19.75,0
71,DSL,One year,56.45,0
13,Fiber optic,Month-to-month,85.95,0
25,DSL,Month-to-month,58.6,1
67,DSL,Two year,50.55,0
1,DSL,Month-to-month,35.45,1
2,DSL,Month-to-month,44.35,1
43,No,Two year,25.7,0
23,Fiber optic,Month-to-month,75.0,0
64,No,Two year,20.2,0
57,No,Two year,19.6,0
1,Fiber optic,Month-to-month,70.45,1
72,DSL,Two year,88.05,0
8,DSL,Month-to-month,71.15,1
61,Fiber optic,Two year,101.05,0
64,Fiber optic,One year,84.3,0
71,No,Two year,23.95,0
65,Fiber optic,Two year,99.05,0
3,No,One year,19.6,0
1,DSL,Month-to-month,45.65,1
30,DSL,One year,64.5,0
15,DSL,Month-to-month,69.5,0
8,DSL,Month-to-month,68.55,0
7,Fiber optic,Month-to-month,95.0,1
70,Fiber optic,One year,108.15,0
62,DSL,Two year,86.1,0
6,No,Month-to-month,19.7,0
14,Fiber optic,Month-to-month,80.9,0
22,Fiber optic,Month-to-month,84.15,0
22,No,One year,20.15,0
16,DSL,Two year,64.25,0
10,No,Two year,25.7,0
13,DSL,Month-to-month,56.0,0
20,Fiber optic,Month-to-month,82.4,1
2,Fiber optic,Month-to-month,69.7,0
53,DSL,Two year,73.9,0
11,No,One year,20.6,0
69,No,Two year,19.9,0
4,Fiber optic,Month-to-month,70.9,1
72,DSL,Two year,89.05,0
58,DSL,Month-to-month,45.3,1
16,No,Month-to-month,20.4,0
43,Fiber optic,One year,84.25,0
2,Fiber optic,Month-to-month,104.4,1
14,DSL,Two year,81.95,0
53,Fiber optic,One year,94.85,1
32,No,One year,20.55,0
34,No,Month-to-month,24.7,0
15,Fiber optic,Month-to-month,74.45,1
7,Fiber optic,Month-to-month,76.45,1
15,Fiber optic,Month-to-month,105.35,0
61,No,One year,20.55,0
1,DSL,Month-to-month,29.95,1
1,DSL,Month-to-month,45.3,0
8,Fiber optic,Month-to-month,84.5,1
33,DSL,One year,74.75,0
13,Fiber optic,Month-to-month,79.25,1
1,DSL,Month-to-month,24.8,1
20,DSL,Month-to-month,51.8,0
3,DSL,Month-to-month,30.4,0
13,No,One year,19.65,0
40,DSL,Month-to-month,56.6,0
43,DSL,One year,71.9,0
6,Fiber optic,Month-to-month,91.0,1
69,No,Two year,19.75,0
72,Fiber optic,Two year,109.7,0
59,No,Two year,19.3,0
20,Fiber optic,Month-to-month,96.55,0
24,No,Two year,24.1,0
59,Fiber optic,Month-to-month,111.35,0
72,Fiber optic,Two year,112.25,0
1,No,Month-to-month,20.75,0
27,Fiber optic,One year,101.9,0
14,Fiber optic,Month-to-month,80.05,0
71,Fiber optic,Two year,105.55,0
13,Fiber optic,Month-to-month,78.3,0
44,Fiber optic,Month-to-month,68.85,0
33,Fiber optic,One year,79.95,0
72,DSL,Two year,55.45,0
1,Fiber optic,Month-to-month,79.9,1
19,Fiber optic,Month-to-month,106.6,1
64,Fiber optic,One year,102.45,0
2,DSL,Month-to-month,46.0,1
1,DSL,Month-to-month,25.25,0
61,No,Two year,19.75,0
29,No,One year,20.0,0
23,Fiber optic,Month-to-month,86.8,0
57,DSL,Month-to-month,58.75,0
72,DSL,Two year,45.25,0
66,DSL,Two year,56.6,0
65,DSL,Two year,84.2,0
8,Fiber optic,Month-to-month,80.0,0
4,Fiber optic,Month-to-month,70.15,1
71,No,Two year,24.75,0
1,No,One year,20.2,0
4,DSL,Month-to-month,50.05,1
12,No,One year,19.35,0
24,DSL,One year,50.6,0
31,DSL,One year,81.15,0
1,DSL,Month-to-month,55.2,1
30,Fiber optic,Month-to-month,89.9,0
47,DSL,Two year,85.3,0
54,Fiber optic,Two year,108.0,0
50,Fiber optic,Month-to-month,93.5,0
1,Fiber optic,Month-to-month,84.6,1
72,No,Two year,20.25,0
29,No,Month-to-month,25.15,0
2,DSL,Month-to-month,54.4,1
10,DSL,Two year,29.6,0
18,Fiber optic,Month-to-month,73.15,0
11,Fiber optic,Month-to-month,95.0,1
16,No,Two year,19.75,0
72,DSL,Two year,86.6,0
72,Fiber optic,Two year,109.2,0
41,DSL,One year,74.7,0
65,Fiber optic,Month-to-month,94.4,0
13,DSL,Month-to-month,54.8,0
4,Fiber optic,Month-to-month,75.35,0
41,DSL,One year,65.0,0
15,Fiber optic,Month-to-month,74.4,1
1,DSL,Month-to-month,48.55,1
42,Fiber optic,One year,99.0,0
51,Fiber optic,One year,93.5,0
2,Fiber optic,Month-to-month,70.4,1
1,DSL,Month-to-month,40.2,1
32,DSL,One year,83.7,0
10,No,Month-to-month,19.85,0
67,DSL,Two year,59.55,0
61,Fiber optic,Two year,115.1,0
50,Fiber optic,One year,114.35,0
2,DSL,Month-to-month,44.6,1
29,DSL,Month-to-month,45.0,0
3,DSL,Month-to-month,41.15,1
13,Fiber optic,Month-to-month,106.9,1
57,Fiber optic,Month-to-month,89.85,0
31,DSL,Two year,49.85,0
45,Fiber optic,One year,113.3,0
61,DSL,Two year,88.1,0
50,No,Two year,24.9,0
19,Fiber optic,Month-to-month,105.0,0
59,No,Two year,19.35,1
71,No,Two year,24.25,0
16,Fiber optic,Month-to-month,94.45,1
57,DSL,Two year,59.75,0
1,DSL,Month-to-month,24.8,1
20,Fiber optic,Month-to-month,107.05,0
1,Fiber optic,Month-to-month,70.6,1
5,Fiber optic,Month-to-month,85.4,1
52,Fiber optic,Month-to-month,105.05,1
21,DSL,Month-to-month,64.95,0
14,DSL,Month-to-month,55.0,0
5,DSL,Month-to-month,50.55,0
6,DSL,Month-to-month,55.15,0
10,DSL,Month-to-month,51.2,0
1,No,Month-to-month,25.4,0
68,DSL,Month-to-month,54.45,0
18,Fiber optic,Month-to-month,95.15,1
22,Fiber optic,One year,76.0,0
20,DSL,Month-to-month,44.35,0
1,Fiber optic,Month-to-month,70.0,1
8,Fiber optic,Month-to-month,74.5,1
10,DSL,Month-to-month,44.85,1
24,Fiber optic,Month-to-month,76.1,1
35,DSL,One year,61.2,0
23,Fiber optic,One year,86.8,0
6,Fiber optic,Month-to-month,89.35,0
12,No,Month-to-month,19.7,0
1,No,Month-to-month,20.25,0
71,Fiber optic,Two year,76.05,0
35,Fiber optic,Month-to-month,100.8,0
40,DSL,Month-to-month,74.55,0
1,Fiber optic,Month-to-month,73.6,1
23,DSL,One year,64.9,0
4,Fiber optic,Month-to-month,95.45,1
4,Fiber optic,Month-to-month,90.4,0
68,DSL,Two year,60.3,0
38,Fiber optic,Month-to-month,81.85,0
52,No,Two year,24.8,0
32,Fiber optic,Month-to-month,74.9,1
29,DSL,Two year,75.55,0
38,Fiber optic,Month-to-month,101.15,0
48,DSL,One year,78.75,0
1,No,Month-to-month,19.25,0
22,Fiber optic,Month-to-month,89.05,0
43,Fiber optic,Two year,115.05,0
5,Fiber optic,Month-to-month,69.35,0
5,Fiber optic,Month-to-month,80.6,1
51,Fiber optic,One year,110.05,0
71,No,Two year,19.9,0
38,DSL,One year,80.3,1
24,Fiber optic,Month-to-month,93.15,1
35,Fiber optic,Month-to-month,91.5,0
54,DSL,One year,82.45,1
72,DSL,Two year,60.0,0
1,DSL,Month-to-month,44.8,0
9,DSL,One year,48.6,0
69,DSL,Two year,60.05,0
52,Fiber optic,Month-to-month,102.7,0
11,Fiber optic,Month-to-month,82.9,0
2,Fiber optic,Month-to-month,70.35,1
28,DSL,Month-to-month,35.9,0
17,Fiber optic,Month-to-month,82.65,0
35,No,Two year,19.85,0
8,No,One year,19.2,0
46,Fiber optic,One year,94.9,0
7,Fiber optic,Month-to-month,73.85,1
2,Fiber optic,Month-to-month,80.6,1
68,DSL,One year,75.8,1
43,Fiber optic,Two year,104.6,1
68,DSL,Two year,88.15,0
36,Fiber optic,Month-to-month,94.8,0
63,Fiber optic,Month-to-month,103.4,1
32,DSL,Month-to-month,54.65,0
71,DSL,Two year,85.75,0
66,DSL,Month-to-month,67.45,0
63,No,One year,20.5,0
41,No,One year,20.25,0
1,Fiber optic,Month-to-month,72.1,0
2,Fiber optic,Month-to-month,90.4,1
70,No,Two year,19.45,0
23,DSL,Month-to-month,44.95,0
64,Fiber optic,One year,97.0,0
37,DSL,Two year,62.8,0
17,DSL,One year,44.6,0
7,Fiber optic,Month-to-month,89.15,0
4,Fiber optic,Month-to-month,84.8,1
21,DSL,Month-to-month,41.9,1
10,Fiber optic,Month-to-month,80.25,1
16,DSL,Month-to-month,54.1,0
64,Fiber optic,Two year,105.25,0
27,DSL,Month-to-month,30.75,1
42,Fiber optic,One year,97.1,0
5,No,Month-to-month,20.2,0
41,Fiber optic,Two year,98.8,0
58,DSL,One year,50.3,0
47,No,Two year,20.55,0
18,Fiber optic,Month-to-month,75.9,0
5,Fiber optic,Month-to-month,96.5,1
23,DSL,Month-to-month,59.95,0
1,No,Month-to-month,19.15,0
71,Fiber optic,One year,98.65,0
72,Fiber optic,Two year,112.6,0
33,No,One year,20.6,0
2,Fiber optic,Month-to-month,85.65,1
24,DSL,Two year,35.75,0
56,Fiber optic,One year,99.75,0
37,Fiber optic,Month-to-month,96.1,0
43,DSL,One year,85.1,0
1,DSL,Month-to-month,25.35,0
25,Fiber optic,Month-to-month,104.95,1
61,DSL,Two year,89.65,0
17,Fiber optic,One year,86.75,0
41,Fiber optic,One year,86.2,0
1,DSL,Month-to-month,50.65,1
72,DSL,Two year,64.8,0
1,Fiber optic,Month-to-month,90.85,1
48,Fiber optic,Two year,108.1,0
11,No,Month-to-month,19.95,1
55,Fiber optic,Month-to-month,85.45,1
42,DSL,One year,54.75,0
44,Fiber optic,Month-to-month,90.4,0
1,DSL,Month-to-month,44.0,0
27,Fiber optic,Month-to-month,95.6,0
27,DSL,Month-to-month,84.8,0
2,DSL,Month-to-month,44.3,0
19,No,Month-to-month,19.9,0
42,Fiber optic,Month-to-month,95.05,0
66,DSL,Two year,90.05,0
33,Fiber optic,Month-to-month,109.9,0
34,Fiber optic,Month-to-month,73.95,1
33,DSL,Month-to-month,54.6,0
23,No,One year,20.05,0
32,No,One year,19.75,0
11,No,One year,20.05,0
69,Fiber optic,Month-to-month,99.45,1
68,DSL,One year,55.9,0
20,No,Two year,19.7,0
72,No,Two year,19.8,0
60,Fiber optic,One year,95.4,0
32,Fiber optic,Month-to-month,93.95,0
1,No,Month-to-month,19.9,1
1,No,Month-to-month,19.6,1
3,Fiber optic,Month-to-month,81.35,1
46,No,One year,24.45,0
29,Fiber optic,Month-to-month,74.95,0
51,Fiber optic,Month-to-month,87.35,0
48,Fiber optic,Month-to-month,70.65,0
16,Fiber optic,Month-to-month,73.25,0
70,Fiber optic,Two year,98.7,0
40,No,Two year,24.8,0
22,Fiber optic,Month-to-month,83.3,1
1,Fiber optic,Month-to-month,75.3,1
5,No,Month-to-month,24.3,0
7,Fiber optic,Month-to-month,69.85,0
29,Fiber optic,One year,100.55,0
44,No,One year,25.7,0
10,DSL,Month-to-month,40.7,0
55,DSL,Month-to-month,51.65,0
52,Fiber optic,One year,105.1,0
10,Fiber optic,Month-to-month,85.95,0
18,Fiber optic,Month-to-month,75.6,0
68,DSL,One year,58.25,0
61,No,Month-to-month,19.4,1
72,DSL,Two year,65.2,0
2,DSL,Month-to-month,53.45,0
12,DSL,Month-to-month,45.4,1
41,No,Two year,19.75,0
26,DSL,Month-to-month,44.45,0
36,No,One year,20.85,0
72,Fiber optic,Two year,114.05,0
35,Fiber optic,Month-to-month,89.85,0
1,DSL,Month-to-month,55.05,0
16,Fiber optic,Month-to-month,112.95,0
49,Fiber optic,Month-to-month,101.55,0
54,Fiber optic,One year,114.65,0
18,DSL,Month-to-month,64.8,0
36,Fiber optic,Month-to-month,80.4,0
60,Fiber optic,Month-to-month,105.9,1
1,Fiber optic,Month-to-month,69.55,1
52,No,Two year,25.05,0
8,Fiber optic,Month-to-month,94.75,0
72,Fiber optic,Two year,105.5,0
64,No,One year,24.7,0
22,DSL,Month-to-month,69.75,0
60,DSL,Month-to-month,60.2,0
28,Fiber optic,Month-to-month,81.05,1
61,No,Two year,24.4,0
24,Fiber optic,Month-to-month,104.15,0
28,Fiber optic,One year,92.9,0
30,DSL,Two year,80.8,0
2,No,Month-to-month,20.0,0
1,Fiber optic,Month-to-month,75.1,0
6,No,Month-to-month,19.65,0
24,DSL,Month-to-month,69.45,0
4,Fiber optic,Month-to-month,101.15,1
7,Fiber optic,Month-to-month,99.8,1
72,Fiber optic,Two year,116.05,0
70,DSL,Two year,40.05,0
64,Fiber optic,Two year,102.1,0
72,Fiber optic,One year,89.7,0
44,No,Two year,19.9,0
13,DSL,Month-to-month,55.95,1
17,No,One year,20.65,0
1,DSL,Month-to-month,55.0,1
9,DSL,Month-to-month,70.05,0
24,DSL,Month-to-month,53.6,0
1,Fiber optic,Month-to-month,74.7,1
24,Fiber optic,Month-to-month,80.25,1
35,DSL,Month-to-month,76.05,0
7,DSL,Month-to-month,75.7,0
5,Fiber optic,Month-to-month,96.1,1
15,Fiber optic,Month-to-month,69.0,1
11,No,Two year,19.65,0
48,DSL,Month-to-month,45.3,1
20,Fiber optic,Month-to-month,81.45,0
72,Fiber optic,One year,108.5,0
8,Fiber optic,Month-to-month,83.55,1
72,Fiber optic,Two year,84.5,0
15,Fiber optic,Month-to-month,100.15,0
72,DSL,Two year,88.6,0
0,DSL,Two year,52.55,0
1,Fiber optic,Month-to-month,74.35,1
63,Fiber optic,Two year,104.8,0
2,DSL,Month-to-month,59.0,0
2,Fiber optic,Month-to-month,74.4,1
61,DSL,One year,64.05,0
1,No,Month-to-month,20.4,0
22,DSL,One year,43.75,1
28,DSL,Month-to-month,60.9,0
70,No,Two year,19.8,0
5,DSL,Month-to-month,28.45,1
12,Fiber optic,Month-to-month,99.7,1
34,Fiber optic,One year,116.25,0
71,Fiber optic,Two year,80.7,0
70,DSL,One year,65.2,0
52,Fiber optic,Month-to-month,84.05,0
69,DSL,Two year,79.45,0
20,Fiber optic,Month-to-month,94.1,1
11,Fiber optic,Month-to-month,78.0,0
2,Fiber optic,Month-to-month,94.2,1
6,Fiber optic,Month-to-month,80.5,1
1,No,Month-to-month,19.85,0
20,Fiber optic,One year,94.3,0
61,Fiber optic,Month-to-month,106.45,0
5,Fiber optic,Month-to-month,74.35,1
56,Fiber optic,Month-to-month,105.45,0
30,Fiber optic,Month-to-month,95.0,0
40,Fiber optic,Month-to-month,104.8,1
28,DSL,One year,54.3,0
5,Fiber optic,Month-to-month,70.05,0
27,Fiber optic,Month-to-month,75.2,1
12,No,Month-to-month,20.05,0
67,Fiber optic,One year,105.4,0
29,DSL,Month-to-month,51.6,0
55,Fiber optic,Month-to-month,85.5,0
23,Fiber optic,Month-to-month,75.6,1
34,Fiber optic,Month-to-month,100.05,1
52,Fiber optic,One year,91.25,0
72,Fiber optic,Two year,115.75,0
58,Fiber optic,One year,94.7,0
35,No,Two year,19.6,0
56,Fiber optic,Two year,99.9,0
24,No,Two year,21.1,0
70,No,Two year,20.05,0
2,Fiber optic,Month-to-month,79.95,0
68,Fiber optic,One year,107.15,0
1,Fiber optic,Month-to-month,85.0,1
12,Fiber optic,Month-to-month,89.55,0
63,Fiber optic,Month-to-month,81.55,0
33,DSL,One year,58.45,0
69,Fiber optic,One year,95.65,0
60,DSL,Two year,80.6,0
72,Fiber optic,Two year,113.1,0
11,DSL,Month-to-month,58.95,0
1,No,Month-to-month,19.55,0
10,Fiber optic,Month-to-month,86.05,1
13,DSL,Month-to-month,45.55,1
34,Fiber optic,One year,78.95,0
39,Fiber optic,Month-to-month,86.3,1
65,Fiber optic,One year,105.05,0
50,Fiber optic,One year,101.9,0
15,No,Month-to-month,19.75,0
72,Fiber optic,Two year,110.3,0
72,Fiber optic,Two year,115.6,0
55,No,Two year,19.35,0
23,No,Two year,25.6,0
32,Fiber optic,Month-to-month,80.35,1
56,DSL,One year,68.75,0
1,No,Month-to-month,19.9,0
38,DSL,One year,70.6,0
11,Fiber optic,Month-to-month,70.2,0
1,DSL,Month-to-month,49.3,0
56,Fiber optic,One year,107.25,0
3,No,Month-to-month,23.6,0
7,DSL,Month-to-month,69.7,0
59,Fiber optic,Two year,99.5,0
7,DSL,Month-to-month,64.3,0
71,DSL,Two year,70.85,0
15,Fiber optic,One year,101.9,0
71,DSL,Two year,73.5,0
35,Fiber optic,Month-to-month,100.25,1
11,DSL,One year,40.4,0
60,No,Two year,19.25,0
47,DSL,Two year,59.6,0
11,DSL,One year,64.9,0
56,Fiber optic,One year,100.3,1
28,Fiber optic,Month-to-month,110.85,0
61,DSL,Two year,81.05,0
31,Fiber optic,One year,98.05,0
9,Fiber optic,Month-to-month,70.5,0
35,Fiber optic,Month-to-month,94.55,0
2,No,Month-to-month,19.65,0
12,No,Month-to-month,19.0,1
1,Fiber optic,Month-to-month,75.3,1
4,Fiber optic,Month-to-month,89.2,1
1,No,Month-to-month,19.0,0
3,No,Month-to-month,20.0,0
1,Fiber optic,Month-to-month,85.7,1
52,DSL,Two year,63.25,0
5,No,One year,20.1,0
72,Fiber optic,Two year,99.15,0
71,DSL,Two year,90.4,0
72,Fiber optic,Two year,111.9,0
46,No,One year,24.9,0
63,DSL,Two year,83.5,0
30,Fiber optic,Month-to-month,84.3,0
1,DSL,Month-to-month,45.6,0
12,DSL,Month-to-month,61.65,1
16,DSL,Two year,54.85,0
4,DSL,Month-to-month,65.55,0
51,Fiber optic,One year,90.35,0
65,No,Two year,20.4,0
16,Fiber optic,Month-to-month,74.55,0
2,No,One year,19.95,0
66,Fiber optic,One year,74.25,0
46,Fiber optic,Two year,108.65,0
32,Fiber optic,One year,109.55,0
72,DSL,Two year,86.65,0
38,DSL,Two year,81.0,0
51,DSL,One year,47.85,0
72,Fiber optic,Two year,114.55,0
65,Fiber optic,Month-to-month,105.25,1
9,DSL,Month-to-month,29.95,1
9,DSL,Month-to-month,65.0,1
66,No,Two year,20.55,0
44,Fiber optic,One year,109.8,0
50,DSL,Two year,69.5,0
15,DSL,Month-to-month,48.85,0
8,DSL,Month-to-month,25.25,0
66,Fiber optic,One year,102.85,0
57,Fiber optic,Month-to-month,87.55,0
7,Fiber optic,Month-to-month,78.55,0
10,DSL,Month-to-month,34.55,0
62,Fiber optic,One year,92.05,0
40,Fiber optic,One year,85.05,0
20,No,Two year,19.7,0
7,No,Month-to-month,20.0,1
25,Fiber optic,Month-to-month,95.15,0
23,Fiber optic,Month-to-month,84.25,0
66,Fiber optic,One year,104.6,0
72,Fiber optic,Two year,111.65,0
49,Fiber optic,Month-to-month,90.05,1
43,Fiber optic,Month-to-month,110.75,1
46,DSL,Month-to-month,55.0,0
72,DSL,Two year,89.85,0
10,No,One year,20.35,0
40,DSL,One year,54.55,0
65,Fiber optic,Month-to-month,105.5,1
31,Fiber optic,Two year,99.45,0
68,DSL,Two year,70.9,0
56,Fiber optic,One year,104.55,1
10,Fiber optic,Month-to-month,85.25,1
68,No,Two year,25.4,0
43,DSL,Month-to-month,56.15,1
1,Fiber optic,Month-to-month,89.55,1
49,Fiber optic,One year,89.85,0
15,No,Month-to-month,25.25,0
20,Fiber optic,Month-to-month,94.55,1
1,DSL,Month-to-month,45.7,1
50,DSL,One year,69.65,0
2,Fiber optic,Month-to-month,89.5,1
24,Fiber optic,Month-to-month,70.0,0
3,Fiber optic,Month-to-month,69.55,1
1,Fiber optic,Month-to-month,74.6,1
35,No,Two year,20.1,0
17,No,Month-to-month,24.8,0
8,No,Month-to-month,19.65,1
10,Fiber optic,Month-to-month,95.1,0
68,DSL,Two year,88.85,0
45,DSL,One year,78.8,0
2,No,One year,19.85,1
37,No,Month-to-month,20.35,0
4,DSL,Month-to-month,24.25,1
10,DSL,Month-to-month,45.25,0
1,No,Month-to-month,20.05,0
65,DSL,Two year,69.55,0
57,No,Two year,19.5,0
3,Fiber optic,Month-to-month,74.75,0
2,Fiber optic,Month-to-month,69.65,1
49,DSL,Month-to-month,30.2,0
4,DSL,Month-to-month,45.65,1
70,DSL,Two year,57.8,0
53,No,One year,19.85,0
53,No,Two year,25.55,0
1,Fiber optic,Month-to-month,75.05,1
22,No,Month-to-month,24.85,0
52,DSL,Month-to-month,49.15,1
65,Fiber optic,Two year,110.35,0
48,No,One year,24.55,0
2,DSL,Month-to-month,34.7,1
3,Fiber optic,Month-to-month,107.95,0
45,Fiber optic,Month-to-month,81.4,0
1,Fiber optic,Month-to-month,80.0,1
61,DSL,Two year,73.8,0
3,DSL,Month-to-month,64.4,0
40,Fiber optic,One year,103.75,0
1,Fiber optic,Month-to-month,71.1,0
1,DSL,Month-to-month,49.9,0
51,No,One year,24.6,0
2,DSL,Month-to-month,49.25,1
52,DSL,One year,30.1,0
51,Fiber optic,Month-to-month,83.4,0
1,No,Month-to-month,20.45,0
31,DSL,One year,75.25,0
47,No,One year,20.55,0
3,Fiber optic,Month-to-month,75.1,1
22,No,One year,20.05,0
1,No,Month-to-month,20.65,0
72,DSL,Two year,85.15,0
3,DSL,Month-to-month,50.15,1
47,Fiber optic,One year,84.95,0
72,DSL,Two year,66.5,0
66,DSL,Two year,63.3,0
35,Fiber optic,Month-to-month,83.15,0
29,Fiber optic,Month-to-month,84.9,0
2,No,Month-to-month,20.55,0
4,DSL,Month-to-month,49.25,0
25,Fiber optic,Month-to-month,79.85,1
65,DSL,Two year,59.6,0
27,Fiber optic,One year,104.65,0
29,Fiber optic,Month-to-month,75.3,0
29,DSL,Month-to-month,80.1,0
1,No,Month-to-month,19.55,1
20,Fiber optic,Month-to-month,81.0,0
58,No,Two year,24.7,0
14,Fiber optic,Month-to-month,86.0,0
72,No,Two year,25.4,0
46,Fiber optic,Month-to-month,89.15,0
71,DSL,Two year,58.25,0
32,Fiber optic,Month-to-month,85.65,0
26,DSL,Month-to-month,50.35,0
68,Fiber optic,Month-to-month,80.35,0
2,No,One year,20.2,0
61,No,Two year,20.55,0
4,Fiber optic,Month-to-month,85.95,1
3,DSL,Month-to-month,45.35,1
33,Fiber optic,Month-to-month,94.5,1
9,No,Month-to-month,21.25,0
22,No,Two year,26.25,0
5,Fiber optic,Month-to-month,80.85,0
30,Fiber optic,Month-to-month,91.7,1
65,DSL,Two year,74.2,0
45,Fiber optic,Month-to-month,87.25,1
5,No,Month-to-month,20.35,0
25,Fiber optic,Month-to-month,75.5,0
72,Fiber optic,Two year,79.05,0
27,Fiber optic,Month-to-month,90.15,0
32,DSL,Month-to-month,50.6,0
30,Fiber optic,One year,110.45,0
70,Fiber optic,Two year,101.0,0
42,Fiber optic,Month-to-month,79.35,0
72,DSL,Two year,89.85,0
47,DSL,Two year,65.0,0
2,Fiber optic,Month-to-month,80.45,0
10,Fiber optic,Month-to-month,98.55,1
61,No,Two year,24.1,0
5,DSL,Month-to-month,44.05,0
72,Fiber optic,Two year,110.8,0
72,Fiber optic,Two year,114.95,0
3,Fiber optic,Month-to-month,75.05,0
48,No,Two year,19.25,0
63,Fiber optic,One year,90.05,0
27,DSL,Month-to-month,56.7,0
70,DSL,Two year,80.15,0
7,DSL,Month-to-month,71.35,0
0,No,Two year,20.25,0
2,Fiber optic,Month-to-month,90.35,0
